transaction_id,account_no,transaction_timestamp,deposit_amt,withdrawal_amt,balance_amt,chq_no,transaction_details,value_date,transaction_sector,bank_id,transaction_status
c2db8141-fb0b-4e0c-a64f-20fac74bac1c,409000000000,2025-04-25 02:36:50,∅,$729.03,$34804.41,∅,BEAT CASH PICKP 13327403,#NULL!,Retail,12,SUCCESS
9e73bfbb-e37c-4121-956c-91f13b08f236,409000000000,2025-04-28 12:52:10,∅,$163.06,$135390.52,A79335,FUTURE RETAIL LIMITED (OW,#NULL!,Other,12,SUCCESS
8e05f00e-c098-47d6-9b85-377aefa853e1,409000000000,2025-04-28 19:58:00,∅,$837.96,$68813.92,A56669,CR818417353932/RMCPL09185/0,2025-04-28,Retail,12,SUCCESS
57ff562f-96db-45c8-9d17-83747b17ad92,409000000000,2025-04-30 10:11:10,∅,$153.64,$86472.66,∅,RTGS/SBINH15313143813/Indfor,2025-04-30,Retail,12,SUCCESS
a6011828-2162-4fea-950c-7ef4f2a6d75e,6821498,2025-04-23 16:36:23,∅,$1099.36,$140375.19,A94900,FDRL/INTERNAL FUND TRANSFER,#NULL!,Other,12,SUCCESS
d29840db-7d34-4c0e-ab14-f3c336e4459e,2707177,2025-04-27 04:45:11,$648.18,∅,$182276.94,∅,FUTURE RETAIL LIMITED (OW,#NULL!,Other,12,SUCCESS
930c0428-e16e-425f-819c-2b8ddb9d2b17,409000000000,2025-04-30 05:22:02,∅,$185.24,$106412.61,A82718,CR818417353932/RMCPL09185/0,#NULL!,Retail,12,SUCCESS
a2e785ed-980a-41b9-bcbc-bb684b605778,5169486,2025-04-24 23:32:28,∅,$1476.59,$106216.18,∅,FDRL/INTERNAL FUND TRANSFER,#NULL!,Retail,12,SUCCESS
6a5adc2e-284e-4c02-a1fc-70b100100755,409000000000,2025-04-30 13:27:43,$1949.14,∅,$14401.65,∅,BEAT CASH PICKP 13327403,2025-04-30,Retail,12,SUCCESS
3696cba9-86d2-4a51-9a28-3b2d4f031d09,6570254,2025-04-30 10:59:55,$659.23,∅,$32807.64,A59998,FDRL/INTERNAL FUND TRANSFER,2025-04-30,Cash deposit,12,FAIL
4047f3e3-bd0b-404e-859e-e9ed44152e0b,5943007,2025-04-25 06:39:45,$1184.62,∅,$44148.82,∅,BEAT CASH PICKP 13327403,#NULL!,Other,12,SUCCESS
acc6b1d9-608a-445a-ae9b-ad8abf0db71b,5320723,2025-04-28 20:15:46,$884.06,∅,$195094.96,A94766,FUTURE RETAIL LIMITED (OW,2025-04-28,Internal Fund Transfer,12,SUCCESS
dc311fd2-8204-4271-9505-b4e2f36fa030,409000000000,2025-04-29 16:36:34,∅,$942.85,$84737.43,∅,NEFT/N162160160752240/Indfor,2025-04-29,Retail,12,SUCCESS
a5ec1282-de70-4c00-9cbc-edcf50dab804,409000000000,2025-04-22 15:09:25,$907.42,∅,$62001.49,A81813,FUTURE RETAIL LIMITED (OW,2025-04-22,Cash deposit,12,SUCCESS
fe92df52-179d-48d4-8879-2e6f42aa3c1a,6574024,2025-04-29 01:23:33,$1748.73,∅,$83746.76,A46912,FDRL/INTERNAL FUND TRANSFER,2025-04-29,Other,12,SUCCESS
2aac12d1-8951-4d65-9c5a-23ca82e180e5,409000000000,2025-04-24 19:33:16,∅,$1415.61,$23367.58,∅,CR818417353932/RMCPL09185/0,2025-04-24,Internal Fund Transfer,12,SUCCESS
7a347907-a269-4f40-8a58-122f78309046,6450734,2025-04-29 04:31:17,∅,$60.27,$175171.49,A86699,Indiaforensic NFS SETT 09-01-201,2025-04-29,Retail,12,SUCCESS
cdf09b01-fd52-4710-92ab-551665b7bb63,409000000000,2025-04-30 12:25:40,$1249.47,∅,$86573.17,A27375,BEAT CASH PICKP 13327403,#NULL!,Cash deposit,12,SUCCESS
9e89f656-8740-47d6-8fd2-f6a919833118,9402040,2025-04-28 08:41:09,∅,$783.68,$190023.25,∅,CR818417353932/RMCPL09185/0,#NULL!,Cash deposit,12,SUCCESS
1a394185-7882-4e6f-ad5a-a09792b0eff5,409000000000,2025-04-28 22:27:19,$504.39,∅,$177682.0,A97471,RTGS/SBINH15313143813/Indfor,2025-04-28,Other,12,SUCCESS
de0bd65e-a847-4445-9bc3-468770b79dcc,409000000000,2025-04-28 07:31:15,$620.34,∅,$10265.73,A27613,FUTURE RETAIL LIMITED (OW,2025-04-28,Cash deposit,12,SUCCESS
eccbe649-eaf7-463f-b158-723674a0238e,409000000000,2025-04-30 06:42:36,∅,$133.07,$161619.52,∅,RTGS/SBINH15313143813/Indfor,2025-04-30,Other,12,REVERSED
d7173fac-388f-4a0c-9d3d-69428a006fcc,409000000000,2025-04-27 22:07:51,∅,$917.64,$167279.05,A99079,CR818417353932/RMCPL09185/0,2025-04-27,Cash deposit,12,SUCCESS
43f55600-30c8-437d-9e4b-bdc61a378314,409000000000,2025-04-24 17:10:05,∅,$85.41,$102901.66,∅,FDRL/INTERNAL FUND TRANSFER,2025-04-24,Retail,12,SUCCESS
9f43ae46-0b88-4d50-a4b3-2e84bc86d607,409000000000,2025-04-23 03:12:17,∅,$293.24,$178174.54,∅,FDRL/INTERNAL FUND TRANSFER,#NULL!,Cash deposit,12,SUCCESS
92b09e55-b216-4f54-a732-f161627270ed,409000000000,2025-04-30 14:12:05,∅,$21.49,$83945.13,∅,FUTURE RETAIL LIMITED (OW,#NULL!,Cash deposit,12,SUCCESS
fa614ae1-f4d9-410d-9b24-a2603c46dcbb,409000000000,2025-04-29 09:00:03,$370.22,∅,$82444.14,∅,BEAT CASH PICKP 13327403,2025-04-29,Internal Fund Transfer,12,SUCCESS
1a2fb7ce-28f9-4651-b913-858c3c70097f,409000000000,2025-04-27 01:23:46,$1698.76,∅,$54970.82,∅,CR818417353932/RMCPL09185/0,#NULL!,Retail,12,SUCCESS
7970f3a0-dc7f-4004-8711-8260ba38c39f,7352380,2025-04-30 07:59:47,$477.17,∅,$84444.71,A94923,FUTURE RETAIL LIMITED (OW,2025-04-30,Cash deposit,12,SUCCESS
9e5f418c-c6b9-4bdd-b826-7bb69285d80f,5359181,2025-04-30 13:20:29,$553.23,∅,$174518.22,∅,FUTURE RETAIL LIMITED (OW,#NULL!,Cash deposit,12,SUCCESS
9a22ca5c-29e3-4a0c-8243-3f529ed36e03,1852578,2025-04-23 12:17:36,$506.98,∅,$29281.95,∅,NEFT/N162160160752240/Indfor,2025-04-23,Retail,12,SUCCESS
0e239521-d352-4236-b2ca-c6f0d83bbad2,6637236,2025-04-24 09:54:10,∅,$1075.19,$160142.86,∅,FDRL/INTERNAL FUND TRANSFER,2025-04-24,Retail,12,SUCCESS
463f8b5c-3a05-43cc-8d9e-6bc73f0e21a0,409000000000,2025-04-30 09:10:19,$1727.85,∅,$124997.64,A80555,FUTURE RETAIL LIMITED (OW,2025-04-30,Internal Fund Transfer,12,SUCCESS
dbac9a15-94fa-4399-ab4d-894ce8633ba2,9615032,2025-04-23 16:34:24,∅,$958.22,$24924.55,∅,FUTURE RETAIL LIMITED (OW,#NULL!,Cash deposit,12,SUCCESS
ac9efff9-fe83-4808-b998-125076cddc20,2712983,2025-04-30 04:33:00,∅,$45.73,$83025.01,∅,RTGS/SBINH15313143813/Indfor,#NULL!,Other,12,SUCCESS
f2eaf7b5-3326-4ed2-90a4-f246b4e32467,409000000000,2025-04-22 17:14:29,∅,$1031.6,$141965.88,∅,FDRL/INTERNAL FUND TRANSFER,2025-04-22,Cash deposit,12,SUCCESS
0ac4fba5-5ee5-475b-a5d2-8e81efe209d5,409000000000,2025-04-23 15:18:44,$1845.44,∅,$132389.5,A21957,FUTURE RETAIL LIMITED (OW,2025-04-23,Retail,12,SUCCESS
7c1a7da7-e914-475b-ae65-eec6329d1ff5,409000000000,2025-04-27 23:53:40,$157.74,∅,$66313.5,A32907,NEFT/N162160160752240/Indfor,#NULL!,Other,12,SUCCESS
5f834764-5fca-43e6-9d5b-6fd0581a6882,409000000000,2025-04-25 08:54:40,∅,$1494.96,$171435.09,∅,NEFT/N162160160752240/Indfor,2025-04-25,Cash deposit,12,PENDING
a36ffed0-9677-4b66-98a3-21751eddcff7,409000000000,2025-04-26 03:10:41,$1300.01,∅,$75784.83,∅,CR818417353932/RMCPL09185/0,2025-04-26,Other,12,SUCCESS
c2c342cf-f3e1-4f52-807d-c7dfd9c758fa,409000000000,2025-04-26 09:44:52,∅,$288.92,$27807.21,∅,CR818417353932/RMCPL09185/0,2025-04-26,Other,12,SUCCESS
01401910-145d-42b8-9c1c-499652cd58cb,9574219,2025-04-23 16:06:18,∅,$373.83,$112441.73,∅,NEFT/N162160160752240/Indfor,2025-04-23,Internal Fund Transfer,12,REVERSED
